09:17:04 INFO  tests.BaseTest - open brauser
09:17:06 INFO  manager.WebDriverListener - BeforeNavigateTo ---->https://trello.com/home
09:17:11 INFO  manager.WebDriverListener - AfterNavigateTo----->https://trello.com/homesuccses
09:17:12 INFO  tests.BaseTest - before method LoginNegativeTest
09:17:12 INFO  manager.TestNGListener - TestNG listener Start: LoginNegativeTest
09:17:12 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //a[contains(@data-uuid, 'login')]
09:17:12 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //a[contains(@data-uuid, 'login')] is found
09:17:12 INFO  manager.WebDriverListener - before click[[ChromeDriver: chrome on MAC (f5b46c79cfce76e3bb09f4fb0170782b)] -> xpath: //a[contains(@data-uuid, 'login')]]
09:17:20 INFO  manager.HelperBase - Locator By.xpath: //a[contains(@data-uuid, 'login')] clicked
09:17:20 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //input[@id='username']
09:17:21 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //input[@id='username'] is found
09:17:21 INFO  manager.WebDriverListener - before click[[ChromeDriver: chrome on MAC (f5b46c79cfce76e3bb09f4fb0170782b)] -> xpath: //input[@id='username']]
09:17:21 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //button[@id='login-submit']
09:17:21 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //button[@id='login-submit'] is found
09:17:21 INFO  manager.WebDriverListener - before click[[ChromeDriver: chrome on MAC (f5b46c79cfce76e3bb09f4fb0170782b)] -> xpath: //button[@id='login-submit']]
09:17:21 INFO  manager.HelperBase - Locator By.xpath: //button[@id='login-submit'] clicked
09:17:21 INFO  manager.TestNGListener - TestNG listener Success: LoginNegativeTest
09:17:21 INFO  manager.WebDriverListener - BeforeNavigateTo ---->https://trello.com/home
09:17:22 INFO  manager.WebDriverListener - AfterNavigateTo----->https://trello.com/homesuccses
09:17:22 INFO  tests.BaseTest - flagNeedOpenMainfalse
09:17:22 INFO  tests.BaseTest - after method LoginNegativeTest
09:17:22 INFO  tests.BaseTest - before method LoginPositivTest
09:17:22 INFO  manager.TestNGListener - TestNG listener Start: LoginPositivTest
09:17:22 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //a[contains(@data-uuid, 'login')]
09:17:22 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //a[contains(@data-uuid, 'login')] is found
09:17:22 INFO  manager.WebDriverListener - before click[[ChromeDriver: chrome on MAC (f5b46c79cfce76e3bb09f4fb0170782b)] -> xpath: //a[contains(@data-uuid, 'login')]]
09:17:22 INFO  manager.HelperBase - Locator By.xpath: //a[contains(@data-uuid, 'login')] clicked
09:17:22 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //input[@id='username']
09:17:23 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //input[@id='username'] is found
09:17:23 INFO  manager.WebDriverListener - before click[[ChromeDriver: chrome on MAC (f5b46c79cfce76e3bb09f4fb0170782b)] -> xpath: //input[@id='username']]
