22:07:14 INFO  tests.BaseTest - open brauser
22:07:22 INFO  tests.BaseTest - before method LoginNegativeTest
22:07:25 INFO  manager.HelperBase - Locator By.xpath: //a[contains(@data-uuid, 'login')] clicked
22:07:26 INFO  manager.HelperBase - Locator By.xpath: //button[@id='login-submit'] clicked
22:07:31 INFO  tests.BaseTest - flagNeedOpenMainfalse
22:07:31 INFO  tests.BaseTest - after method LoginNegativeTest
22:07:31 INFO  tests.BaseTest - before method LoginPositivTest
22:07:32 INFO  manager.HelperBase - Locator By.xpath: //a[contains(@data-uuid, 'login')] clicked
22:07:32 INFO  manager.HelperBase - Locator By.xpath: //button[@id='login-submit'] clicked
22:07:32 INFO  manager.HelperBase - Locator By.xpath: //button[@id='login-submit'] clicked
22:07:47 INFO  manager.HelperBase - Locator By.xpath: //div[@data-testid='header-member-menu-avatar']/span clicked
22:07:51 INFO  manager.HelperBase - Locator By.xpath: //button[@data-testid='account-menu-logout'] clicked
22:07:55 INFO  manager.HelperBase - Locator By.xpath: //button[@data-testid='logout-button'] clicked
22:07:55 INFO  tests.BaseTest - flagNeedLogoutfalse
22:07:55 INFO  tests.BaseTest - method information LoginPositivTest
22:07:55 INFO  tests.BaseTest - after method LoginPositivTest
22:07:55 INFO  tests.BaseTest - close brauser
