22:17:26 INFO  tests.BaseTest - open brauser
22:17:33 INFO  tests.BaseTest - before method LoginNegativeTest
22:17:41 INFO  manager.HelperBase - Locator By.xpath: //a[contains(@data-uuid, 'login')] clicked
22:17:42 INFO  manager.HelperBase - Locator By.xpath: //button[@id='login-submit'] clicked
22:17:43 INFO  tests.BaseTest - flagNeedOpenMainfalse
22:17:43 INFO  tests.BaseTest - after method LoginNegativeTest
22:17:43 INFO  tests.BaseTest - before method LoginPositivTest
22:17:43 INFO  manager.HelperBase - Locator By.xpath: //a[contains(@data-uuid, 'login')] clicked
22:17:44 INFO  manager.HelperBase - Locator By.xpath: //button[@id='login-submit'] clicked
22:17:44 INFO  manager.HelperBase - Locator By.xpath: //button[@id='login-submit'] clicked
22:17:57 INFO  manager.HelperBase - Locator By.xpath: //div[@data-testid='header-member-menu-avatar']/span clicked
22:18:02 INFO  manager.HelperBase - Locator By.xpath: //button[@data-testid='account-menu-logout'] clicked
22:18:06 INFO  manager.HelperBase - Locator By.xpath: //button[@data-testid='logout-button'] clicked
22:18:06 INFO  tests.BaseTest - flagNeedLogoutfalse
22:18:06 INFO  tests.BaseTest - method information LoginPositivTest
22:18:06 INFO  tests.BaseTest - after method LoginPositivTest
22:18:06 INFO  tests.BaseTest - close brauser
